route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
11327.,198,S70,,,2,,00AFF0,FFFFFF
11328.,198,S70,,,2,,00AFF0,FFFFFF
11329.,198,Z70,,,2,,FFCD28,3C3C3C
1133.,198,Z72,,,2,,3C3C3C,FFCD28
11330.,198,Z70,,,2,,FFCD28,3C3C3C
11331.,198,Z70,,,2,,FFCD28,3C3C3C
11332.,198,Z70,,,2,,FFCD28,3C3C3C
11333.,198,Z70,,,2,,FFCD28,3C3C3C
11334.,198,Z70,,,2,,FFCD28,3C3C3C
11335.,198,Z70,,,2,,FFCD28,3C3C3C
11336.,198,Z70,,,2,,FFCD28,3C3C3C
11337.,198,G70,,,2,,AACD46,FFFFFF
11338.,198,Z70,,,2,,FFCD28,3C3C3C
11339.,198,Z70,,,2,,FFCD28,3C3C3C
1134.,198,Z72,,,2,,3C3C3C,FFCD28
11340.,198,Z70,,,2,,FFCD28,3C3C3C
11341.,198,Z70,,,2,,FFCD28,3C3C3C
11342.,198,Z70,,,2,,FFCD28,3C3C3C
11343.,198,Z70,,,2,,FFCD28,3C3C3C
11344.,198,Z70,,,2,,FFCD28,3C3C3C
11345.,198,Z70,,,2,,FFCD28,3C3C3C
11346.,198,Z70,,,2,,FFCD28,3C3C3C
11347.,198,Z70,,,2,,FFCD28,3C3C3C
11348.,198,G70,,,2,,AACD46,FFFFFF
11349.,198,Z70,,,2,,FFCD28,3C3C3C
1135.,198,Z72,,,2,,3C3C3C,FFCD28
11350.,198,Z70,,,2,,FFCD28,3C3C3C
11351.,198,Z70,,,2,,FFCD28,3C3C3C
11352.,198,Z70,,,2,,FFCD28,3C3C3C
11353.,198,Z70,,,2,,FFCD28,3C3C3C
11354.,198,Z70,,,2,,FFCD28,3C3C3C
11355.,198,Z70,,,2,,FFCD28,3C3C3C
11356.,198,Z70,,,2,,FFCD28,3C3C3C
11357.,198,Z70,,,2,,FFCD28,3C3C3C
11358.,198,Z70,,,2,,FFCD28,3C3C3C
11359.,198,Z70,,,2,,FFCD28,3C3C3C
1136.,198,Z72,,,2,,3C3C3C,FFCD28
11360.,198,Z70,,,2,,FFCD28,3C3C3C
11361.,198,Z70,,,2,,FFCD28,3C3C3C
11362.,198,Z70,,,2,,FFCD28,3C3C3C
11363.,198,G70,,,2,,AACD46,FFFFFF
11363.1,198,G70,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
11364.,198,G70,,,2,,AACD46,FFFFFF
11364.1,198,G70,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
